Country,Country Code,Series,1987 [1987],1988 [1988],1989 [1989],1990 [1990],1991 [1991],1992 [1992],1993 [1993],1994 [1994],1995 [1995],1996 [1996],1997 [1997],1998 [1998],1999 [1999],2000 [2000],2001 [2001],2002 [2002],2003 [2003],2004 [2004],2005 [2005],2006 [2006],2007 [2007],2008 [2008],2009 [2009],2010 [2010],2011 [2011],2012 [2012],2013 [2013],2014 [2014],2015 [2015],2016 [2016],2017 [2017],2018 [2018],2019 [2019],2020 [2020],2021 [2021],2022 [2022],2023 [2023],2024 [2024]
Advanced Economies,AME,"Core CPI,not seas.adj,,,",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Advanced Economies,AME,"Core CPI,seas.adj,,,",..,..,..,68.34957855,71.40375939,73.92118352,75.93744196,77.56840919,79.40311619,81.06847821,82.69779451,84.17068418,85.24096582,86.38987883,87.861135,89.45773347,90.7072435,91.9925322,93.31594276,94.76224569,96.40403685,98.17576973,99.48523053,100.3244422,101.7022484,103.2558523,104.5906082,106.0981629,107.5855727,109.0855634,110.5252137,112.1799617,113.8992651,115.1502225,117.5231753,122.8138504,128.5231922,132.3810062
Advanced Economies,AME,"CPI Price, % y-o-y, median weighted, seas. adj.,",3.578211654,4.100044008,4.791094201,4.813906842,5.011018492,4.017734098,4.0831228,3.02006738,2.58753709,2.894347005,2.152653988,1.898903887,1.740332025,2.664163272,2.598707226,2.007804612,2.052283328,2.110185924,2.279801872,2.3192222,2.316411539,4.076207533,0.579307149,1.63656955,3.195691817,2.443017739,1.405984447,0.507775841,0.121137233,0.319182626,1.430810793,1.702692516,1.432900769,0.428802589,2.438801816,7.920493429,4.877468121,2.377974281
Advanced Economies,AME,"CPI Price, % y-o-y, not seas. adj.,,",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Advanced Economies,AME,"CPI Price, seas. adj.,,,",58.29255777,60.10823066,62.608754,65.63576873,68.65472892,70.96617818,73.13792675,74.94874498,76.7226724,78.45784528,80.12878832,81.33827221,82.39198877,84.05758223,85.77139503,86.96434212,88.45746994,90.09947217,91.99551433,94.01160752,95.96069468,99.06975179,99.10210138,100.456849,102.968154,104.868401,106.1995742,107.6437301,107.9784842,108.7642866,110.5410621,112.6403203,114.2033895,115.0048964,118.4034268,126.616378,132.4083702,135.8945555
Advanced Economies,AME,"CPI Price,not seas.adj,,,",58.66405362,60.44678163,62.95466059,65.96590035,69.01570203,71.33398429,73.52764701,75.33551233,77.11678506,78.8401918,80.50426778,81.69998109,82.74542791,84.40008609,86.103455,87.29524042,88.78586297,90.42962822,92.34523519,94.36286833,96.30926637,99.43800168,99.46890526,100.869343,103.4369711,105.3659743,106.7218092,108.1777238,108.4843724,109.2446969,111.041256,113.165365,114.7369392,115.5243643,118.9515855,127.2987667,133.1631266,136.6001885
Advanced Economies,AME,"Exchange rate, new LCU per USD extended backward, period average,,",41.26476311,36.74405675,35.93432007,37.6817558,37.43563508,38.04573742,37.1291701,36.1663078,34.27551832,36.79362388,42.64027709,57.39955834,49.27312945,47.02513819,53.30582047,52.41217293,49.55083179,47.26890008,43.74482164,42.2497031,41.55640555,45.30187015,49.76037669,45.46396716,43.12287577,43.73314665,44.56888316,44.15723669,48.22672426,47.87125451,47.28791152,46.15537606,48.05783885,48.25991629,47.44533032,54.23819314,55.62035941,58.50492319
Advanced Economies,AME,"Exchange rate, old LCU per USD extended forward, period average,,",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Advanced Economies,AME,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",..,..,..,..,3413269.411,3504072.745,3716772.151,4053769.633,4376322.983,4663840.474,5084437.63,5328098.362,5579683.074,6181401.418,6187094.133,6480702.521,6790686.671,7379784.66,7712321.641,8313417.536,8753992.5,8976513.536,7862402.279,8826051.059,9322241.171,9358486.797,9507977.005,9765849.885,9903880.604,10026604.97,10479345.1,10782452.74,10757436.75,10089238.62,10952191.03,11079919.01,11005749.35,11148061.9
Advanced Economies,AME,"Exports Merchandise, Customs, constant US$, millions, seas. adj.",..,..,..,..,3216124.193,3384256.277,3590320.39,3916434.765,4247534.283,4518720.598,4951010.859,5141157.497,5408205.262,6062924.146,6063662.749,6354338.861,6638701.416,7220090.297,7563207.5,8185005.218,8654922.232,8827252.761,7683673.517,8727234.374,9234400.534,9258595.525,9400448.42,9650660.161,9753119.653,9907537.592,10419253.52,10701221,10715885.5,10048672.43,10907797.85,11130915.56,11002447.73,11140009.6
