COUNTRY,PRODUCTION_INDEX,TYPE_OF_TRANSFORMATION,FREQUENCY,SCALE,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Russian Federation,Industrial Production,Year-over-year (YOY) percent change,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.67255595,-4.511278195,-4.522288082,2.080346984,-5.211591734,1.182274332,9.6373887,2.943831761,3.175190013,9.523253973,8.008886928,5.131599697,6.419502643,6.763823403,0.554038863,-10.6683702,7.249486755,5.025418785,3.348674814,1.773648649,2.482082233,5.226737338,1.776969358,3.691229035,3.513423931,3.387768172,-2.1432111,5.374097987,,,
El Salvador,Industrial Production,Year-over-year (YOY) percent change,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.72175337,13.41093081,8.538416805,4.899848094,3.59724748,0.139782092,5.622433466,9.420508854,5.908320616,0.269189118,3.337095096,2.663236837,-3.372019098,2.078334236,5.197261717,2.663067854,4.229175931,0.599541923,-3.146879162,1.990589938,4.617750359,1.430720927,0.152629864,2.739726027,2.114166667,0.372132499,1.944826128,1.936435778,,,,,,
Japan,Industrial Production,Year-over-year (YOY) percent change,Annual,,,,,,,,8.883455583,5.494011976,22.09821429,18.19012797,-1.778808971,19.84251969,24.96714849,19.45320715,8.318661972,11.25558716,15.85098612,3.751576293,13.24825281,19.39898041,15.41573034,15.96573209,13.75083949,2.612546125,7.235327963,14.98323273,-4.001399907,-10.98553895,11.12627986,4.115479115,6.336283186,7.345761207,4.692991524,0.997235387,0.312836054,3.23555209,9.298593411,3.653480739,-0.166652779,3.447124614,9.262546393,5.787037037,4.216461875,1.881611887,-5.754597337,-3.481917578,1.254792611,3.278829604,2.341471544,3.533626445,-6.550802139,0.317348378,5.439367311,-6.325527127,-1.129893238,3.351576287,4.744622466,1.428209245,4.340943176,2.786872155,-3.200745805,-21.02595143,14.97413298,-2.92475627,0.652360515,-0.869861845,1.732507533,-1.266968326,0.058328473,2.823117921,1.047784868,-2.629272568,-9.98349835,5.207899342,-0.047520988,,
"Kazakhstan, Republic of",Industrial Production,Year-over-year (YOY) percent change,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.089315453,10.44512293,4.837770988,7.230587745,4.691645635,2.095438249,8.488224254,0.967846233,0.705960813,1.405474216,1.309195213,0.202173053,-1.659894192,-2.424841878,8.386169961,,,,,,,
"China, People's Republic of",Industrial Production,Year-over-year (YOY) percent change,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.30851156,9.976543029,9.698060388,8.2634585,6.100572455,6.072467601,6.532688376,6.21167439,5.76906126,2.566773616,9.961405647,,,
Mexico,Industrial Production,Year-over-year (YOY) percent change,Annual,,,,7.090464546,9.018264841,6.178010471,-1.380670611,7,11.21495327,10.50420168,6.273764259,4.472271914,7.962328767,8.501189532,4.867709399,5.101756342,9.25729443,15.17412935,6.911447085,9.36026936,7.820197044,6.427688503,8.710801394,7.02457265,1.896680809,10.14776716,10.07263564,7.319372433,4.712009035,2.720354725,3.45913784,9.98534055,15.29707285,9.768351785,8.836160618,-2.594455953,-9.904800486,4.979766187,5.47167791,-5.898477157,2.783471788,2.781568175,6.137663399,6.735302608,3.35346615,4.369821195,0.300852415,4.782536244,-7.820451654,9.966629588,7.612785758,5.341188324,2.249702317,3.925049874,-2.557979334,-0.952964464,1.615927064,4.090768611,2.457150569,4.354736731,5.686565454,32.66744324,17.52778607,18.5661749,11.91862362,6.046500474,13.90700959,2.860726988,4.179220646,-12.05295128,4.672408106,14.66506238,-1.448630783,,,,,
Ireland,Industrial Production,Year-over-year (YOY) percent change,Annual,,,13.04347826,13.39950372,2.84463895,-2.55319149,9.170305678,2.7,4.771178188,-1.951672862,-0.56872038,1.525262155,10.11737089,7.802174376,8.997429306,5.678519594,5.373390558,8.064516129,3.708729082,4.811745893,8.876560333,11.32484076,7.083190296,4.22098739,3.670665436,4.30224508,10.69599848,1.559020045,-4.037132987,8.85264342,8.039677702,7.890964107,7.703896936,-2.545438437,5.42888165,-0.727928097,7.874944003,9.914103993,3.37250691,2.171780321,8.873366721,10.68359071,11.57722053,4.885708101,3.392226148,9.125085441,5.480739117,11.99524941,19.35312831,8.085295424,17.48869708,19.73062795,14.81373265,14.28934979,11.02204409,8.172884075,5.654955038,1.237167676,3.969492113,3.051017006,5.241870248,-2.167563413,-4.462602137,8.492365739,-0.433297225,-1.464557704,-2.225242059,20.91730368,36.93965517,4.932511248,-2.501191043,-4.9433993,6.991089788,14.54996797,28.31876966,18.93113968,,
"Korea, Republic of",Industrial Production,Year-over-year (YOY) percent change,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.67924528,4.978789908,15.75925138,15.06522139,4.422800575,20.94801223,19.20353982,13.27818432,3.201947383,8.872357797,9.640346417,5.862694072,4.515998233,11.10976404,11.90497716,8.579698678,4.869800821,-6.367788926,24.50313821,16.89382047,0.574715739,8.031997315,5.529235828,10.39309392,6.329938057,8.409004502,6.9187521,3.364649258,-0.125261379,16.31131431,5.958541525,1.384201361,0.682740634,0.223407941,-0.276758477,2.18323846,2.528194453,1.495541136,0.328955597,-0.257231787,8.182651446,1.417237927,,
Jordan,Industrial Production,Year-over-year (YOY) percent change,Annual,,,,,,,,,,,,,,,,,,,,,-8.900000001,1.756311746,19.52535059,-13.44765343,18.56100104,22.35414834,9.877800407,4.290465027,7.239937271,25,3.816793893,22.79411765,19.76047904,19.35833333,16.60266704,3.335129633,4.954224128,14.5862088,7.111539388,1.358463407,9.297474815,-8.137079747,4.94165488,0.623367871,-1.184596065,7.802770365,7.855251545,5.598745226,12.4,-5.160142349,3.541275797,2.023405059,2.405091393,3.916750976,6.608980355,11.14304099,-8.462667026,12.03516035,10.15402973,5.787183982,3.175992601,1.38250815,-1.668385929,-3.133262682,-0.251408995,0.16341227,1.515319102,1.760732186,1.216326181,-2.321473211,-0.484384542,-6.050893397,,,,,,
India,Industrial Production,Year-over-year (YOY) percent change,Annual,,,,,,,,,,,,,,,9.151525254,9.689981674,8.290985033,8.665466701,9.163511595,-0.731588359,-0.791571132,6.361085126,7.020539086,5.263157895,4.216666666,5.717255717,1.664019363,2.008779109,4.740719131,9.839147692,5.230125523,6.813663474,1.201353638,0.752382545,9.033078881,2.020433059,5.13414543,9.29058857,9.060162602,6.691316794,11.21296814,7.338158424,5.487919086,11.03515625,1.615095546,2.871980486,1.912192137,9.344040829,12.70505869,8.615839077,5.41993136,3.366093366,7.570715474,7.446690973,4.398175225,0.324929972,1.552378825,7.093368525,3.3682481,6.040135108,7.916432453,4.062852678,-11.2371736,9.398496241,4.656357388,-1.666393039,-0.500876534,1.359174427,-0.662196838,4.474627114,2.647950231,1.35975136,4.837102338,1.915764844,12.73496915,4.55673646,5.770284253,
United Kingdom,Industrial Production,Year-over-year (YOY) percent change,Annual,,,6.534653463,6.133828996,2.276707531,-3.082191781,6.360424028,5.149501661,4.897314378,-0.158800964,2.051611981,-1.467497899,5.907652934,7.048162443,0.522025396,0.952856229,3.869682084,7.162509853,3.017139685,1.204381037,-0.689535828,5.046578648,3.394155927,0.530667654,-0.564694329,1.790123457,8.987265009,-1.991987536,-5.393437039,3.240518483,5.173215531,2.840720681,2.138865004,-6.945175208,-4.071016623,0.247553931,2.610536218,0.641760257,5.112730585,2.231610876,4.100879517,5.171009772,2.080913666,0.018962738,-3.327329605,0.431457148,2.167545401,5.284785933,1.76091495,1.365275631,1.38077086,4.037981009,4.851570756,2.373098772,4.27817059,1.605012445,2.71160669,-1.80E-13,-0.912904022,4.108565737,-1.618432592,-2.37439222,-7.030796049,-2.482142857,-4.861746933,0.654412472,1.988717851,2.034311428,4.704152885,-0.026325026,0.412534012,3.111888112,1.720922347,2.341861822,-3.900651466,-3.448860266,,
Chile,Industrial Production,Year-over-year (YOY) percent change,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.519612117,-3.377946228,3.85520606,1.81414728,1.816600974,5.188609425,8.750432975,5.447505673,3.231987616,4.125634344,0.213388129,-6.718366632,1.492892506,3.573912327,3.40237736,3.365530093,0.330059498,0.456496503,-0.849218071,-1.122719471,3.51507867,-0.633510926,-1.012915364,,,,
